X,Y,Z
298.152,145.877,5.502
354.525,148.559,5.542
324.8,151.463,5.155
273.985,152.975,5.017
378.309,162.392,5.486
276.638,166.016,5.226
308.921,172.628,5.29
280.334,179.856,5.014
295.206,184.099,5.166
308.18,186.503,5.446
314.789,125.717,5.78
328.218,125.008,5.85
374.583,124.945,5.791
251.363,124.801,6.037
277.658,127.373,5.736
340.5,126.81,5.867
429.878,128.781,6.017
292.074,129.59,5.413
395.688,130.563,5.741
236.544,133.688,6.024
261.38,132.751,5.651
304.195,132.969,5.277
360.881,132.579,5.71
383.012,134.53,5.689
347.981,137.471,5.561
322.029,137.685,5.514
334.23,138.752,5.3
408.684,137.404,5.674
370.969,138.876,5.741
421.368,138.266,5.907
249.092,139.781,5.727
272.203,139.959,5.569
285.587,141.177,5.436
223.836,141.603,5.713
311.628,144.087,5.442
392.143,143.714,5.614
208.392,143.662,6.473
259.864,147.984,5.569
431.619,145.786,5.484
445.336,148.026,6.002
235.948,149.686,5.666
380.012,149.176,5.573
402.839,148.467,5.52
339.621,150.132,5.203
415.787,150.027,5.559
367.465,152.434,5.439
248.318,154.668,5.19
287.524,155.961,5.476
391.713,156.292,5.652
224.188,156.59,5.799
209.53,157.238,6.006
310.896,156.926,5.163
426.251,157.561,5.751
440.249,159.441,5.679
261.819,161.853,5.119
299.712,162.799,5.108
359.083,161.738,5.362
404.095,161.714,5.414
346.265,161.872,5.176
332.966,164.353,5.246
454.529,163.831,5.885
320.139,165.065,5.153
415.905,164.899,5.409
391.387,168.633,5.551
289.731,170.993,5.513
429.605,170.345,5.377
199.517,170.392,6.419
214.647,172.317,5.861
227.33,171.123,5.449
367.143,172.481,5.191
265.863,175.033,5.23
339.928,174.785,5.572
352.862,173.838,5.428
441.708,172.897,5.539
379.548,175.694,5.132
403.4,175.719,5.571
321.131,178.942,5.445
417.852,177.459,5.698
391.707,181.737,5.237
228.451,185.466,5.692
243.294,186.285,5.661
332.251,185.07,5.675
206.456,184.508,6.403
428.662,184.281,5.778
269.955,187.894,5.411
346.705,187.835,5.555
360.387,184.98,4.96
256.687,187.494,5.63
377.417,188.299,5.543
216.299,193.609,6.187
282.21,193.222,5.542
400.572,191.341,5.776
389.221,194.088,5.776
319.141,195.229,5.593
304.927,199.558,5.712
332.284,197.873,5.466
234.059,198.776,5.866
248.621,198.902,5.81
292.819,200.621,5.586
265.694,200.652,5.696
357.346,201.377,5.865
345.894,201.446,5.826
405.297,203.538,6.38
281.181,206.57,5.904
313.307,209.36,5.979
297.4,212.942,6.246
270.627,102.023,7.286
296.064,107.508,6.617
255.569,109.647,6.867
377.527,109.709,6.879
328.61,111.227,6.403
354.952,110.403,6.601
275.878,113.863,6.557
315.877,112.776,6.276
340.716,115.231,6.167
398.43,115.682,6.674
365.642,117.654,6.225
241.896,117.108,6.316
287.595,117.689,6.197
303.708,118.203,5.861
385.644,119.102,6.189
264.933,119.529,6.246
227.437,122.58,6.641
352.342,123.055,6.258
406.95,124.606,6.175
441.153,123.173,6.51
418.422,125.965,6.202
202.22,131.171,6.897
216.526,132.185,6.458
453.304,133.988,6.16
440.199,136.084,6.081
466.972,137.974,6.731
190.272,142.03,7.079
476.834,146.968,6.295
457.525,148.551,6.199
488.902,151.301,6.851
501.626,154.089,6.961
181.93,155.713,7.174
195.732,155.435,6.665
467.069,156.861,6.079
480.337,160.11,6.423
467.207,169.473,6.351
185.067,171.429,6.864
482.303,172.101,6.787
239.419,173.133,5.029
252.426,174.606,5.032
452.294,178.159,6.057
475.118,182.185,6.795
463.105,183.533,6.156
191.827,185.442,6.821
442.039,187.021,6.09
410.923,188.077,5.617
367.385,192.541,5.784
453.098,192.988,6.678
432.579,196.441,6.559
419.162,196.153,6.096
198.577,198.522,7.021
380.069,201.571,6.155
222.981,204.528,6.583
369.01,204.833,6.129
444.42,203.05,6.885
391.188,207.331,6.254
256.735,209.552,6.462
418.667,209.06,6.625
431.266,208.288,6.766
208.505,207.811,7.245
325.912,211.889,5.974
337.358,209.492,6.276
244.252,212.717,6.572
269.091,214.637,6.592
349.782,215.057,6.63
377.204,215.222,6.495
284.659,220.166,6.71
308.086,221.294,6.734
256.861,223.129,7.035
319.701,223.284,6.734
337.929,222.251,6.903
271.819,227.387,7.158
297.223,228.308,7.303
377.122,91.328,8.116
258.238,95.846,7.83
355.296,97.668,7.493
332.631,99.054,7.329
319.273,100.135,7.037
245.2,100.434,7.615
307.373,102.485,7.276
367.37,103.405,7.194
284.985,103.842,7.12
344.336,103.948,7.157
400.507,102.55,7.303
413.019,103.089,7.423
389.538,107.208,6.962
233.693,108.522,7.234
220.443,108.395,7.5
450.765,108.15,7.427
439.817,111.602,7.097
414.707,113.514,6.784
427.833,114.334,7.01
211.101,118.701,7.16
452.373,120.627,6.725
462.832,125.321,6.783
191.042,125.295,7.732
474.374,125.799,7.121
489.326,125.691,7.521
510.224,127.451,8.09
180.078,130.455,7.837
482.997,136.772,7.036
496.769,137.857,7.203
508.924,142.53,7.609
175.907,142.451,7.77
520.59,146.661,7.705
166.529,152.16,7.854
515.04,157.799,7.485
528.277,155.521,7.748
170.443,166.495,7.71
494.469,166.677,7.142
506.973,167.842,7.24
518.421,172.781,7.82
172.963,180.226,7.659
502.358,179.72,7.17
489.561,183.327,7.061
180.045,191.06,7.677
466.519,195.683,6.972
479.572,195.139,7.26
459.06,205.654,7.1
183.179,204.915,8.046
194.682,213.207,8.018
219.475,217.295,7.466
232.861,217.772,7.325
362.839,216.276,6.599
397.598,216.441,6.939
409.331,216.515,6.823
439.223,217.8,7.571
450.14,215.279,7.469
206.558,221.992,8.387
386.851,223.476,7.13
428.568,221.856,7.811
244.774,228.112,7.584
375.624,226.532,7.468
398.333,228.353,7.452
352.942,229.56,7.321
364.116,228.196,7.434
329.35,231.291,7.677
284.915,233.825,7.415
341.617,234.241,7.711
310.916,235.357,7.532
260.251,236.142,7.841
333.256,85.343,8.43
355.817,85.261,8.82
269.553,88.306,8.343
308.939,87.492,8.145
239.791,88.684,8.953
321.862,88.677,8.091
344.479,90.199,8.196
282.408,91.108,8.092
365.468,90.805,8.104
297.022,94.253,7.505
406.852,92.311,8.148
229.611,96.429,8.525
216.874,96.103,8.934
389.719,95.685,8.143
456.631,97.949,8.816
425.996,102.167,7.864
438.157,100.813,8
205.25,103.022,8.828
481.587,105.249,8.545
493.053,110.739,8.56
198.842,114.771,7.902
468.154,113.687,7.681
182.152,115.658,8.791
481.332,116.496,8.078
499.38,121.118,8.014
525.373,123.204,8.557
167.32,125.801,8.829
520.932,133.814,7.873
545.522,138.448,8.883
160.245,140.256,8.674
531.609,141.156,8.201
540.359,151.277,8.594
146.948,152.288,9.197
551.781,158.016,9.005
156.171,161.658,8.4
541.559,164.535,8.584
530.313,167.037,8.128
146.1,170.215,9.163
159.634,177.749,8.311
546.117,176.426,8.917
529.176,179.263,8.49
514.918,185.131,8.072
540.056,186.278,9.111
152.141,189.041,9.33
504.754,191.109,7.82
167.217,193.942,8.585
528.21,191.797,8.698
492.286,195.705,7.705
519.877,200.604,8.964
471.655,208.065,7.867
168.904,208.946,9.154
484.615,206.433,8.102
180.683,218.394,9.026
460.365,218.989,8.287
417.88,223.544,7.672
470.315,222.125,8.802
193.262,228.81,9.106
218.049,230.47,8.134
437.247,230.288,8.358
231.399,232.051,8.144
424.131,233.163,8.339
410.303,232.718,8.246
273.037,241.343,7.988
386.188,237.024,8.197
371.987,238.902,8.026
299.152,243.3,8.066
322.041,242.27,8.097
249.631,243.032,8.668
335.471,246.464,8.392
305.455,75.361,9.289
264.302,77.017,9.549
323.359,76.776,8.917
376.742,77.441,9.436
279.338,77.602,8.992
252.844,84.07,9.139
225.443,83.684,9.648
292.566,83.889,8.475
387.89,84.28,8.681
453.88,84.748,9.8
464.771,90.314,9.357
419.03,90.311,8.576
431.817,89.101,8.624
444.51,91.095,8.926
478.31,94.183,9.376
493.765,97.788,9.199
469.302,101.531,8.549
517.836,100.927,9.752
191.639,104.618,9.084
505.074,107.676,8.936
172.649,107.891,9.786
526.561,110.101,9.592
515.06,114.899,8.984
537.559,117.92,9.484
153.71,126.185,9.604
550.606,126.528,9.794
537.18,129.069,8.902
564.063,138.323,9.802
145.682,138.628,9.598
554.637,145.488,9.274
565.073,155.031,9.628
135.398,159.422,9.849
556.503,169.334,9.267
561.275,182.014,9.876
140.212,183.447,9.747
552.249,190.559,9.772
541.839,198.821,9.677
508.372,201.529,8.503
157.678,202.563,9.675
531.738,204.091,9.619
