X,Y,Z
329.206,129.691,6.779
388.372,135.115,6.817
231.197,138.823,6.482
408.03,139.405,7.159
310.889,139.946,5.985
324.667,139.941,6.804
260.693,142.413,7.27
246.466,144.54,6.823
342.32,147.506,6.539
321.808,149.728,7.073
404.506,150.26,6.638
266.645,151.038,6.645
311.265,151.886,6.196
187.394,154.098,7.253
203.888,155.683,6.688
242.346,155.634,7.482
255.185,153.924,7.004
299.869,161.271,6.1
277.772,161.385,6.908
390.192,161.909,6.789
265.39,161.175,7.283
310.034,162.316,6.646
249.166,164.952,6.453
237.052,168.58,6.628
223.468,168.294,7.212
257.931,171.203,7.3
282.036,170.983,6.673
316.26,170.896,6.532
304.443,173.603,5.71
200.577,175.805,6.737
216.109,177.278,6.918
289.098,179.261,6.5
260.289,182.05,6.529
268.415,190.216,7.356
264.712,111.352,8.089
309.321,120.428,7.298
248.87,123.256,7.925
382.916,125.232,8.023
230.413,125.372,7.401
282.097,127.344,7.318
270.522,129.416,6.839
315.893,129.916,7.364
343.556,129.773,7.141
241.08,132.308,7.561
256.28,131.872,6.844
221.319,133.688,7.744
209.724,134.497,7.609
355.047,133.989,7.353
376.995,134.249,8.24
650.045,132.714,6.82
196.987,135.286,7.98
298.155,137.992,7.216
510.403,137.069,7.766
520.58,136.822,8.146
284.801,138.125,7.574
348.345,138.917,6.864
273.973,141.64,7.253
367.854,140.227,7.738
359.184,144.899,7.105
207.097,145.903,7.791
291.086,146.055,6.924
577.794,144.733,7.174
218.638,146.556,6.415
382.443,144.838,7.869
415.067,147.188,6.949
565.434,144.783,7.12
331.981,147.486,6.593
496.091,146.389,7.646
371.754,149.74,7.579
301.864,149.887,7.556
683.149,149.239,7.05
229.606,150.279,6.558
280.09,151.256,6.957
393.839,151.278,6.937
670.749,151.294,7.122
733.784,150.409,7.817
424.504,151.362,6.482
653.775,152.252,7.334
351.104,153.836,7.721
693.328,152.429,7.958
712.917,153.534,8.083
217.895,156.089,6.984
569.479,153.151,7.565
662.262,155.525,7.123
382.137,154.994,8.201
173.89,157.617,7.345
288.744,158.098,7.162
534.377,157.814,6.755
229.754,159.324,6.711
343.16,158.688,6.758
361.982,157.294,7.227
451.364,158.495,7.658
372.178,159.904,6.94
323.17,160.543,5.968
400.921,161.103,7.554
484.193,161.92,7.7
704.894,161.025,6.804
504.042,162.533,6.943
195.562,165.376,7.067
356.448,163.729,6.42
695.686,162.294,7.737
164.195,163.118,8.116
210.944,165.553,7.691
183.642,165.85,7.668
462.801,163.965,7.909
639.229,166.213,7.389
381.286,166.946,6.749
346.058,169.116,7
293.748,170.689,6.47
366.254,168.569,7.539
453.908,169.911,6.957
327.114,170.426,6.358
408.395,169.801,7.371
556.556,171.756,6.959
173.075,172.638,7.533
485.018,172.68,6.86
501.151,171.236,7.511
356.802,174.674,7.198
393.737,176.258,6.986
419.862,172.593,6.968
270.444,174.13,5.352
187.553,176.64,7.601
375.078,176.745,7.517
630.544,175.222,7.492
384.312,176.387,7.532
229.709,179.856,7.185
318.23,179.691,6.996
347.931,180.332,6.672
245.934,178.861,5.902
299.291,178.709,7.027
365.562,179.071,7.553
404.464,180.082,7.546
650.23,179.77,7.278
328.792,182.288,6.583
175.865,184.859,7.487
205.854,185.257,6.684
309.238,185.242,7.099
192.453,187.245,7.847
219.949,190.255,7.023
238.743,189,6.536
371.292,188.214,7.834
291.149,189.318,7.64
338.168,189.481,7.716
317.875,191.599,7.007
397.261,190.795,7.542
302.182,193.84,7.389
280.536,193.712,7.573
182.41,195.465,8.211
311.324,198.763,7.595
286.497,101.54,8.63
314.508,110.476,7.929
249.612,112.333,8.843
293.812,112.942,8.954
304.096,111.784,8.388
224.193,113.216,8.068
381.553,113.191,7.723
283.758,116.677,8.263
238.948,117.417,8.476
321.197,118.36,6.91
344.852,118.693,8.02
603.123,117.423,8.204
331.855,119.13,7.42
204.042,122.068,8.324
299.734,121.661,8.359
374.894,121.07,7.458
565.595,117.673,8.929
258.823,121.392,8.065
392.802,123.194,8.112
450.393,122.262,8.3
620.298,124.438,8.145
192.059,125.191,8.736
354.645,123.637,8.718
522.472,123.866,7.803
215.021,122.161,7.902
683.186,125.171,7.343
515.875,126.887,7.4
728.153,126.97,8.373
291.801,129.734,8.103
363.235,126.877,7.235
441.545,128.36,8.129
412.949,128.949,7.715
304.523,130.079,6.669
555.366,129.549,7.931
627.155,130.563,8.582
488.974,132.237,7.849
530,132.847,7.235
699.336,129.286,8.415
568.386,131.205,7.711
664.255,129.094,8.515
672.556,131.584,8.247
708.058,133.371,8.512
758.208,131.675,8.784
184.44,134.793,8.582
581,134.355,8.02
800.37,134.207,9.031
399.078,134.93,7.374
500.263,135.853,8.103
608.284,137.284,7.527
618.567,136.065,8.349
632.486,137.162,7.856
682.779,136.703,7.076
551.049,137.797,7.6
642.892,137.639,7.772
749,137.315,8.621
336.79,138.364,8.057
438.753,137.709,8.7
572.604,137.817,8.817
730.022,138.595,8.146
157.624,139.431,8.967
448.722,138.864,8.278
538.944,141,8.15
673.913,142.389,7.63
426.466,142.448,7.77
468.609,141.507,6.841
479.077,143.808,7.323
394.983,143.14,7.983
662.372,143.547,7.257
710.656,143.372,8.372
192.751,146.07,8.179
720.562,145.825,7.376
589.947,145.168,7.284
614.725,149.606,8.286
178.26,147.035,8.094
437.596,146.938,8.587
754.313,146.859,8.092
784.993,146.086,9.053
814.691,147.269,9.481
516.022,146.451,8.83
702.46,149.711,7.708
769.748,147.818,8.846
147.251,148.589,9.077
235.519,148.962,7
534.188,149.005,8.528
743.787,149.05,8.764
161.092,149.757,8.159
633.839,147.832,8.559
643.278,149.056,7.285
458.595,151.937,8.074
522.978,152.741,6.849
487.432,151.026,7.797
802.437,153.67,8.187
508.947,152.719,6.825
580.732,153.596,7.618
778.064,153.5,8.789
467.82,153.719,9
625.105,154.281,8.614
431.661,155.506,7.914
762.189,154.425,8.556
790.967,154.542,8.618
477.248,156.017,7.564
552.226,157.856,7.782
601.42,157.142,7.426
723.944,156.223,7.391
752.672,157.355,7.883
824.482,155,9.067
412.868,159.623,7.708
496.335,156.506,8.726
636.236,156.966,7.901
813.966,158.353,8.399
152.957,158.369,8.769
330.354,158.062,6.562
440.852,156.378,8.082
562.297,159.541,7.721
741.946,159.426,8.408
645.42,159.618,8.566
677.658,159.457,7.688
423.898,162.793,8.941
515.652,161.244,8.147
686.603,160.45,8.311
715.132,162.597,7.007
574.089,162.527,7.951
652.995,166.075,7.708
442.783,165.068,7.708
473.124,163.159,7.982
729.017,163.818,7.413
805.375,164.437,8.458
337.261,166.315,7.617
433.679,165.155,8.109
628.053,164.135,8.271
667.027,163.86,8.864
143.751,167.596,8.976
493.519,165.915,8.902
602.351,166.298,8.281
793.824,165.467,8.483
820.689,167.207,8.816
750.034,167.743,8.131
761.046,167.51,8.871
721.778,169.75,6.972
739.526,170.459,8.229
156.562,170.307,8.735
583.943,170.857,8.341
521.541,171.288,7.961
700.622,169.755,7.694
710.404,171.924,7.484
464.736,173.637,7.771
511.413,171.36,8.174
609.322,173.275,8.043
620.658,172.919,8.664
687.562,171.785,8.25
476.089,172.616,8.418
660.089,173.089,7.851
669.868,172.441,8.93
531.961,175.836,8.506
799.751,175.003,8.531
811.391,173.95,8.709
337.668,176.398,7.332
434.021,174.799,7.556
444.172,176.459,8.048
679.224,177.511,8.239
493.579,177.929,8.311
757.356,178.087,8.576
164.029,180.35,8.871
514.981,179.506,8.032
703.662,181.176,7.71
766.711,179.125,9.061
452.116,182.298,7.751
414.355,180.465,7.878
472.744,182.256,7.75
604.33,182.029,8.34
714.107,181.387,8.6
481.956,182.556,7.678
522.146,183.482,7.788
584.34,182.968,6.809
822.621,180.904,8.567
595.109,184.534,8.109
627.191,183.855,7.626
723.257,182.036,8.739
275.2,181.567,7.067
251.273,188.508,6.828
461.727,186.913,8.235
507.879,186.929,7.821
548.657,185.972,8.112
559.604,187.045,8.365
358.457,187.797,8.736
385.043,187.936,7.17
167.304,190.935,8.383
409.427,189.142,8.471
675.274,188.31,8.938
346.677,190.505,7.414
527.098,190.755,7.491
328.159,192.542,8.024
715.816,192.356,7.736
258.854,195.141,7.373
683.147,195.453,8.461
194.325,198.982,7.702
230.25,198.04,7.62
245.59,198.426,7.859
554.839,195.882,9.012
642.232,196.502,8.513
371.399,198.434,8.761
389.652,198.792,7.365
402.382,198.551,8.126
291.681,201.131,7.939
217.239,201.62,8.244
270.085,202.078,7.603
361.232,200.51,8.123
302.91,204.42,8.236
172.403,204.738,8.471
254.234,205.841,7.791
282.495,205.307,7.594
238.481,207.405,8.591
340.888,207.498,8.263
314.634,211.786,8.214
218.798,213.127,8.976
308.581,100.162,9.131
243.99,99.535,9.538
296.788,99.73,8.976
374.837,100.042,9.55
385.524,102.027,8.738
259.567,100.24,8.26
319.133,100.133,8.971
364.233,103.158,9.219
683.985,101.159,9.92
343.286,105.557,9.569
274.116,108.171,9.963
496.178,102.781,9.938
353.122,109,8.311
372.926,110.846,8.651
173.016,110.637,10.315
211.937,110.428,8.314
765.158,111.764,10.167
326.337,111.802,7.837
336.871,112.091,8.737
448.395,110.57,9.372
550.513,112.378,8.395
710.602,111.131,8.801
394.013,112.333,7.641
403.525,112.123,8.549
468.087,112.854,8.272
613.076,115.932,8.645
184.199,113.017,9.104
593.516,114.208,8.923
527.365,115.212,9.069
651.814,114.522,9.124
364.035,116.407,8.186
423.695,116.558,9.478
700.877,116.773,8.695
477.481,117.512,8.8
497.21,116.5,9.21
556.788,118.24,8.822
731.917,117.848,8.596
742.401,118.01,9.676
413.75,119.851,8.229
272.788,120.124,8.496
632.079,119.934,9.366
692.281,118.526,7.825
651.72,123.795,8.447
768.178,121.502,9.615
177.109,124.356,9.49
402.761,124.527,8.72
709.139,122.366,9.63
717.829,124.099,8.635
431.566,123.629,9.777
496.477,123.886,8.045
807.638,124.544,9.405
747.932,125.582,9.468
137.027,125.809,9.876
151.668,126.217,9.755
794.859,126.286,9.659
471.484,127.258,8.595
505.654,127.162,9.324
422.137,127.683,8.245
543.443,127.804,8.552
610.157,127.719,8.678
637.73,129.059,9.012
784.151,129,8.636
479.714,129.438,8.312
603.106,129.73,8.44
463.46,129.968,7.73
770.129,131.082,8.93
588.779,134.669,8.526
819.526,132.274,9.71
831.316,132.323,9.144
430.783,133.242,8.729
452.933,131.907,9
690.526,132.645,8.546
419.99,135.469,8.061
717.86,135.544,8.154
130.835,136.048,9.814
144.177,137.363,9.722
171.162,135.622,7.324
473.954,136.661,8.807
790.102,137.392,9.538
810.028,138.526,8.842
739.008,138.813,8.311
699.928,138.978,8.712
775.408,139.654,8.642
840.907,140.463,9.223
456.768,141.296,8.408
690.2,141.3,8.023
762.414,141.374,9.357
827.371,142.972,9.269
526.961,142.883,8.208
625.672,143.833,9.211
653.073,142.371,8.71
798.768,144.33,9.193
548.784,146.432,8.557
132.675,146.924,9.844
449.922,147.426,8.186
849.578,147.393,10.289
596.614,146.614,7.686
606.243,148.206,8.936
542.652,151.911,8.385
837.688,152.786,9.649
139.035,155.681,9.468
590.469,156.32,8.562
856.096,157.574,9.463
543.265,160.288,8.652
620.402,160.866,8.134
769.45,160.674,9.318
584.059,161.782,7.975
779.868,162.967,8.088
832.37,163.288,8.979
527.65,163.425,7.85
611.31,164.57,8.731
593.403,164.624,8.101
843.64,164.003,9.731
125.185,166.345,9.227
547.992,169.398,8.051
566.915,168.265,8.342
679.676,169.291,8.547
772.514,169.593,8.759
783.328,170.945,8.782
832.173,173.962,9.368
730.822,174.643,8.779
132.349,176.514,9.129
597.709,177.076,7.873
540.586,182.147,8.331
564.296,177.634,8.803
641.84,177.56,8.307
747.239,177.272,8.207
146.578,179.125,8.984
788.665,178.815,9.287
427.809,179.835,8.217
694.028,178.131,8.944
503.66,180.222,8.745
777.854,180.696,9.096
614.724,182.418,8.037
668.229,181.822,8.828
738.952,183.455,8.92
796.904,185.355,8.11
439.852,186.901,8.07
657.824,185.371,8.766
422.925,188.484,8.317
499.296,187.679,8.549
489.473,188.332,8.946
568.521,187.366,8.437
646.987,188.812,7.988
762.74,190.298,9.065
773.986,188.811,9.344
808.42,187.307,8.972
577.311,187.981,8.142
620.221,190.052,8.312
730.245,189.657,8.554
432.834,190.53,9.12
452.618,190.276,8.263
588.738,191.995,8.348
665.646,191.208,8.814
696.141,191.207,7.467
706.093,190.936,8.512
518.347,192.573,8.313
604.722,199.091,8.821
632.336,192.613,9.175
207.294,194.187,8.198
543.964,193.57,9.303
742.886,192.658,9.852
380.361,194.935,8.231
534,195.77,7.935
567.124,194.826,8.868
596.872,198.911,9.035
445.603,201.526,9.028
493.901,197.739,8.054
655.03,197.396,8.01
337.857,197.923,7.879
