X,Y,Z
330.234,154.009,6.225
317.332,158.365,6.087
435.592,161.269,6.661
339.271,162.815,6.729
447.056,163.707,6.274
328.215,166.997,6.006
379.097,170.453,6.267
424.897,169.826,6.985
297.267,171.112,6.298
358.094,171.229,6.574
317.154,172.753,6.198
438.651,172.507,6.504
344.67,174.037,5.963
451.448,174.631,6.554
329.86,177.906,6.586
419.038,181.538,6.174
430.06,181.632,6.33
442.282,182.566,6.634
344.094,185.792,5.949
375.493,183.656,6.714
408.649,187.132,6.857
317.447,188.016,6.626
330.807,188.624,6.433
397.527,191.888,6.694
386.686,197.594,6.274
407.096,198.705,6.5
333.382,133.76,7.247
439.332,132.084,7.642
321.369,133.486,7.411
346.405,136.997,7.346
310.046,137.081,6.919
440.952,142.978,7.17
421.317,144.831,7.693
358.846,144.711,6.704
465.724,145.54,7.257
307.995,150.906,7.196
345.788,151.158,7.474
369.137,151.653,6.989
401.515,154.688,7.225
443.976,153.064,7.108
491.566,152.689,7.548
292.554,153.387,7.731
413.743,153.866,7.727
456.066,154.439,7.309
469.54,155.779,7.415
502.599,155.753,7.244
359.791,156.983,6.847
379.575,157.454,7.481
424.117,157.664,6.892
481.439,158.694,7.37
268.861,161.697,7.04
287.093,162.714,6.536
304.381,163.129,6.567
350.707,163.586,6.815
391.277,162.268,6.789
368.979,164.845,7.31
493.803,163.348,6.937
412.962,164.408,6.265
459.888,165.293,7.374
471.874,166.246,7.236
260.277,167.308,7.077
399.718,167.386,6.773
484.897,170.167,7.098
389.084,174.292,6.857
463.274,175.565,6.779
285.727,176.509,7.211
307.84,178.495,7.042
474.621,176.702,6.961
366.961,178.782,6.895
398.993,179.513,6.842
356.56,184.163,6.728
295.801,183.261,7.23
387.051,186.077,7.023
453.588,187.763,7.267
464.338,186.905,7.098
474.685,187.311,7.04
419.669,192.769,6.461
363.849,193.859,7.086
434.185,192.078,6.774
303.388,194.218,7.116
482.831,192.761,7.119
374.83,196.354,7.033
340.258,196.547,6.805
352.658,198.216,6.707
461.966,197.887,6.732
472.522,196.922,7.237
327.277,200.443,6.464
314.51,201.451,7.007
427.286,201.874,6.011
394.243,205.243,6.703
416.226,205.162,7.371
439.659,205.541,6.918
303.032,208.906,7.523
367.919,207.644,7.884
326.974,211.071,7.191
459.853,210.696,7.235
376.624,217.684,7.717
327.005,121.712,7.604
458.047,122.804,8.13
341.602,124.627,8.047
352.407,124.47,8.097
313.181,124.442,7.957
379.654,128.806,7.979
492.101,127.074,8.416
417.621,131.676,7.676
357.253,134.537,7.507
429.047,137.157,7.754
288.979,137.751,7.725
387.65,137.958,7.406
369.629,138.996,7.944
397.079,140.046,7.059
491.18,141.667,7.728
299.689,142.946,7.787
409.149,143.062,7.111
336.581,144.64,7.688
279.272,145.369,8.626
379.035,145.046,7.544
502.058,145,7.938
322.625,145.727,7.474
269.138,148.262,7.671
479.316,147.075,7.891
390.615,149.928,7.313
513.633,149.333,7.951
431.86,150.24,7.643
259.996,155.287,7.525
279.035,156.945,7.64
250.115,161.804,7.696
512.785,160.913,8.019
240.451,165.945,7.971
529.489,167.965,8.227
505.286,168.392,7.714
548.846,169.359,8.82
277.322,169.647,8.389
518.792,170.672,7.909
410.647,174.27,7.235
495.611,175.121,7.99
240.129,176.939,8.149
252.482,176.071,8.299
266.118,176.91,7.858
527.31,177.655,8
278.052,184.049,7.479
488.966,182.483,7.295
518.588,184.396,8.31
247.727,185.997,8.38
259.228,187.689,7.84
499.613,186.246,7.461
268.224,191.337,7.864
444.945,194.392,7.516
492.372,195.766,7.584
244.136,197.731,7.769
278.135,197.34,8.065
522.068,196.056,8.191
501.583,198.198,8.122
533.714,198.215,8.692
292.847,201.331,8.078
451.428,200.606,7.739
481.912,204.325,7.715
381.178,207.518,7.857
341.156,207.156,7.569
470.157,212.067,7.915
356.014,208.808,7.75
492.031,207.598,8.008
283.118,210.029,8.256
404.622,209.615,8.069
426.857,211.032,7.396
447.353,212.353,7.497
315.147,214.846,7.201
292.492,215.263,8.072
416.142,216.454,7.569
340.888,216.668,8.336
437.886,217.872,7.829
427.646,223.671,7.062
459.267,222.448,7.267
326.996,222.504,7.878
350.405,223.963,7.447
447.761,225.811,7.914
314.622,226.743,7.965
336.9,230.215,7.981
374.46,230.634,8.394
335.851,113.079,9.026
348.852,113.415,8.871
398.688,114.118,8.403
466.597,114.255,9
374.49,117.933,8.096
387.134,119.299,8.473
271.106,122.202,9.071
446.069,122.771,8.014
428.972,124.364,8.154
468.991,124.829,8.575
290.396,126.443,8.5
366.36,126.787,8.733
301.228,129.47,7.842
394.534,128.964,8.655
278.971,131.802,8.827
405.749,133.435,8.325
524.297,132.109,9.341
248.784,134.152,9.258
450.768,134.073,8.452
234.689,134.649,8.57
461.176,134.686,8.408
268.787,135.753,8.23
472.061,136.865,8.377
501.307,134.9,8.781
481.755,137.099,8.312
512.681,138.995,8.801
259.475,142.402,8.676
452.926,142.777,8.027
240.683,143.767,8.825
523.29,144.594,9.068
213.723,145.994,8.905
553.191,145.215,9.354
228.154,146.724,9.126
248.941,150.17,8.494
559.227,154.08,9.458
237.249,155.816,8.518
570.181,155.369,9.596
209.176,157.676,9.014
222.972,157.536,9.376
523.609,158.044,8.71
549.239,159.37,9.327
538.574,161.177,7.901
560.419,163.452,8.706
229.73,168.323,8.478
579.24,164.455,9.677
203.156,168.03,9.292
217.316,168.332,8.037
570.46,168.552,9.418
538.763,176.157,8.822
560.531,174.741,9.205
584.103,174.258,9.323
508.088,177.736,7.818
224.269,178.76,8.78
572.081,179.204,9.185
548.987,180.894,9.045
562.033,185.245,8.859
203.029,186.909,9.062
235.154,187.577,8.644
530.954,186.808,8.565
581.238,185.705,9.629
214.547,189.676,8.585
287.821,190.291,7.97
541.572,189.73,8.997
572.313,190.653,8.869
510.017,191.688,8.65
225.734,194.063,8.63
552.304,192.401,8.534
254.245,199.574,8.294
561.486,197.295,8.598
233.318,202.176,8.165
264.545,202.996,8.474
513.107,201.752,8.587
525.658,206.86,8.389
272.527,208.935,8.327
502.769,209.606,8.914
244.022,210.831,7.876
256.024,211.798,8.774
516.019,213.835,7.903
480.831,215.338,8.612
392.287,215.807,7.787
363.794,220.226,8.553
490.882,219.263,8.641
266.178,219.326,8.481
503.122,219.91,8.851
277.212,221.471,9.251
302.068,222.81,8.546
405.573,220.503,8.2
515.093,222.076,8.22
394.994,225.503,8.064
384.614,227.107,9.078
415.115,226.502,8.825
471.838,226.824,8.268
437.337,228.995,9.087
355.096,233.04,8.322
457.78,232.864,8.318
323.588,235.228,8.484
365.116,235.643,8.916
401.445,234.884,8.548
344.755,242.607,9.464
446.432,238.466,8.714
331.901,242.205,9.224
412.663,251.657,8.801
315.177,99.177,9.7
342.395,101.202,9.016
355.634,103.143,9.748
439.984,105.56,9.745
368.596,106.801,9.247
390.383,108.493,9.771
420.066,108.071,9.877
380.747,108.831,8.759
409.315,110.985,9.358
457.084,109.76,9.323
265.612,110.16,10.32
322.669,111.955,9.051
428.475,113.3,9.544
309.038,111.575,8.821
449.661,108.921,10.181
476.891,112.458,9.453
360.948,115.178,9.409
283.136,118.305,9.255
437.798,117.074,8.585
486.278,118.135,9.563
260.251,118.931,9.78
297.987,118.368,9.434
418.58,120.605,9.27
250.652,122.035,10.584
504.345,123.248,9.597
517.924,121.134,9.445
408.749,124.643,9.401
238.728,125.66,9.728
226.644,126.362,9.48
478.92,127.989,9.893
260.205,129.929,8.567
512.868,129.162,9.338
208.02,129.591,10.375
567.188,134.234,9.644
543.145,138.164,10.355
204.025,138.161,9.949
533.153,140.415,9.801
564.162,144.978,9.732
576.693,144.633,10.163
201.591,149.309,9.936
543.241,150.697,9.803
188.557,150.68,9.953
533.607,152.241,9.018
625.499,149.369,10.785
581.343,153.071,9.538
613.212,153.021,9.979
178.13,156.654,10.754
600.81,158.142,10.519
192.145,160.889,9.637
589.641,162.795,9.73
610.771,163.716,10.338
179.841,169.847,10.308
597.45,170.965,10.662
192.662,175.258,9.558
609.157,174.336,10.914
210.795,176.836,8.772
182.676,181.519,9.997
602.109,181.427,9.964
613.008,186.605,10.08
192.184,189.222,10.141
602.717,191.737,9.729
205.315,199.195,10.023
216.767,200.99,9.557
580.753,198.988,8.84
546.507,201.694,9.014
194.978,203.526,10.358
558.985,206.061,9.563
536.095,209.144,9.521
210.564,211.08,10.14
547.377,213.477,9.469
526.726,216.904,9.204
248.033,221.011,8.725
538.294,221.392,10.057
258.551,225.354,9.174
288.748,228.051,9.033
481.157,229.1,9.076
495.892,230.816,9.076
506.942,230.913,9.331
425.439,234.383,8.654
308.849,236.025,9.231
412.364,237.306,9.316
467.474,235.414,9.692
293.895,236.9,9.918
488.642,237.549,9.844
387.171,239.939,8.972
434.727,243.566,9.531
456.647,243.22,9.347
372.722,245.923,9.242
423.658,246.132,8.724
400.935,245.384,9.5
317.401,246.599,9.524
390.579,249.537,9.847
445.556,250.637,9.556
350.646,91.259,10.791
411.537,96.419,10.404
270.981,99.67,10.113
329.701,101.166,9.829
290.923,101.971,9.827
301.968,105.675,9.873
486.922,106.455,10.156
277.618,110.18,10.078
241.257,112.477,10.688
497.436,112.879,10.036
509.536,113.781,10.371
204.196,115.204,10.54
229.301,116.353,10.324
216.645,119.315,10.275
529.749,120.415,10.047
548.015,126.106,10.901
558.736,126.605,11.218
195.025,127.127,11.219
536.19,128.655,9.845
594.049,130.544,10.753
555.066,135.06,10.246
583.614,135.295,10.398
220.173,136.926,10.233
613.035,134.925,11.169
189.719,137.904,9.919
592.189,141.418,10.353
616.539,144.534,11.16
636.611,145.113,11.003
603.611,147.446,11.082
590.811,152.094,10.496
633.477,156.89,10.932
654.395,157.659,11.532
622.132,159.513,10.729
643.226,162.075,10.837
630.905,168.509,11.003
620.511,169.668,10.38
652.387,169.335,10.932
641.371,172.494,10.899
164.588,174.244,10.827
622.401,178.763,10.809
591.211,181.332,10.751
653.586,178.908,11.497
171.667,183.264,11.19
632.502,181.046,11.144
642.09,183.098,11.293
624.291,190.029,11.357
590.285,193.308,10.374
182.608,193.903,10.629
615.476,196.667,10.866
599.456,202.383,10.886
569.738,203.415,10.402
588.459,203.659,10.118
611.201,204.951,11.196
227.82,209.615,9.582
579.638,210.037,11.149
593.105,212.566,10.635
556.133,215.938,9.956
234.518,219.374,9.705
221.269,221.977,10.223
208.849,223.901,10.491
549.854,224.664,10.168
241.205,227.575,9.74
519.747,229.772,9.684
267.814,230.805,10.835
531.767,232.202,10.248
278.993,235.292,10.285
502.896,240.479,9.938
476.85,242.097,10.242
516.769,244.498,10.847
525.959,241.083,10.554
357.207,245.711,9.512
302.228,244.316,10.673
467.143,249.184,10.046
484.556,249.174,10.565
284.662,248.685,10.092
498.663,253.559,11.317
378.805,254.325,10.214
327.183,254.739,10.278
426.466,253.759,9.931
311.294,255.794,10.392
367.305,255.539,10.57
435.905,257.642,10.588
313.693,88.721,11.293
412.844,87.874,11.459
326.635,89.994,11.24
430.654,88.405,11.524
442.614,92.766,11.405
455.713,92.873,10.76
250.344,92.844,11.762
390.477,92.969,10.369
365.629,96.086,10.571
422.128,95.591,11.362
260.423,97.793,11.539
280.959,97.347,11.447
300.765,96.255,10.647
377.781,95.752,11.023
477.898,99.646,10.559
239.316,99.163,11.082
399.958,102.361,10.847
431.531,100.078,10.359
466.671,102.026,10.289
514.587,101.72,10.813
501.92,101.716,11.034
228.735,106.419,11.179
252.864,107.103,10.848
527.008,105.721,11.202
535.87,109.335,12.086
519.938,112.054,10.643
555.274,116.087,11.394
607.133,112.406,12.607
538.697,119.459,11.008
567.036,121.544,11.491
583.654,125.429,11.474
631.667,127.755,11.639
574.726,130.651,11.484
180.526,132.489,11.292
601.757,136.289,11.098
637.864,134.657,11.822
626.618,138.285,11.528
154.241,145.017,11.703
179.23,145.306,11.433
659.46,147.121,12.276
164.252,153.267,12.103
645.478,152.917,12.091
666.398,156.918,12.022
678.483,156.72,12.056
169.94,163.841,11.558
156.786,164.831,11.897
662.259,166.674,11.052
674.494,167.054,12.064
152.407,175.404,11.832
666.916,177,12.169
678.338,177.032,11.991
142.917,183.107,12.349
157.374,186.562,11.947
660.614,187.975,11.968
649.88,190.3,11.545
636.535,194.215,11.215
168.531,195.619,10.964
155.447,199.155,11.63
647.362,198.914,12.005
177.968,203.441,11.606
628.211,203.421,10.316
639.661,206.306,11.86
187.09,211.171,11.176
568.198,213.821,10.914
603.913,212.369,11.774
632.732,213.268,11.469
198.519,216.038,11.686
611.689,219.589,11.758
574.832,221.565,11.099
588.384,221.622,11.517
624.609,225.327,12.454
562.258,224.73,11.172
188.644,226.43,11.589
231.102,229.567,11.242
253.333,234.173,10.133
555.415,233.821,11.089
542.261,235.17,10.784
239.789,238.675,10.947
272.189,244.388,11.122
550.535,245.355,12.228
246.723,246.546,10.9
456.847,253.898,10.635
475.631,254.246,11.818
297.249,254.187,11.731
356.309,257.509,10.582
401.808,259,11
345.67,260.553,11.101
389.012,262.287,11.177
414.385,261.064,10.807
467.918,260.939,11.061
446.987,264.208,10.857
369.248,78.236,12.965
324.348,78.579,12.927
335.645,80.295,12.219
346.593,80.203,12.161
450.542,80.74,12.718
439.114,81.342,12.165
300.209,84.068,12.461
461.364,83.013,12.078
359.115,86.531,12.434
510.325,84.263,13.279
269.633,90.011,11.589
401.761,91.228,11.609
290.218,91.916,11.681
228.218,93.466,12.107
340.958,93.125,11.306
469.025,92.975,11.658
499.138,92.948,11.828
490.154,96.442,11.135
535.805,96.312,11.766
545.732,101.585,12.746
202.144,104.686,12.444
213.273,106.491,11.109
565.437,109.47,11.901
577.111,107.765,12.399
548.165,110.461,11.652
192.223,112.73,12.256
586.898,114.127,12.649
169.246,115.965,12.535
575.378,117.797,11.919
181.072,118.567,12.314
596.422,114.972,12.277
616.305,118.695,12.779
158.908,119.658,12.454
620.243,127.87,12.339
170.454,129.049,12.135
606.847,127.784,12.09
649.823,131,12.161
156.587,134.457,12.461
669.321,138.22,12.292
167.473,141.432,12.614
128.885,141.192,13.115
648.084,141.329,12.341
682.731,143.351,12.716
672.583,149.092,12.505
722.024,148.749,13.445
137.679,150.619,12.895
687.993,151.443,12.601
146.674,156.837,12.493
709.812,158.455,13.11
725.855,157.26,13.213
688.074,161.168,12.943
130.327,163.108,13.279
698.693,165.637,12.984
141.863,169.027,12.465
707.923,169.377,12.855
728.723,168.627,13.398
688.75,171.758,12.571
717.234,175.958,13.169
701.74,178.031,12.459
690.31,181.184,13.133
681.951,185.524,12.231
672.591,186.93,12.035
129.198,187.87,13.221
144.653,193.752,12.69
671.838,198.168,12.642
660.235,199.565,12.3
168.222,206.689,12.042
621.949,208.436,11.769
158.2,209.995,13
178.86,216.81,12.034
166.931,219.913,12.661
601.176,222.718,12.021
633.873,224.237,12.297
201.493,229.507,11.679
582.948,227.99,12.397
613.213,231.303,12.277
216.656,234.595,11.833
565.833,234.302,11.895
593.936,233.743,12.214
574.928,235.824,11.848
603.417,234.288,12.494
260.49,242.286,11.651
205.459,243.191,12.871
540.729,244.448,11.75
228.861,245.787,12.315
507.761,247.63,11.304
263.092,257.582,12.739
276.2,255.538,12.614
490.076,259.519,11.747
285.172,260.919,12.55
307.034,263.815,11.79
332.541,263.991,11.514
426.658,263.329,11.767
377.16,263.88,11.76
319.278,269.445,12.344
460.509,269.211,11.702
362.916,269.376,12.489
350.107,269.913,12.136
436.689,269.385,12.037
386.928,272.856,12.88
388.734,74.342,13.321
356.43,74.828,13.597
311.413,76.477,12.761
269.792,79.057,12.736
411.89,78.134,13.024
380.83,79.509,12.377
500.62,82.25,13.466
401.424,82.04,12.606
258.869,84.273,13.392
279.445,85.062,12.877
520.896,81.527,14.39
391.87,86.239,11.978
479.549,89.495,12.385
492,88.178,12.289
529.949,87.269,12.91
238.163,90.457,12.543
204.852,90.678,13.374
520.911,95.756,11.956
212.978,98.761,12.043
579.18,97.453,13.309
589.135,100.144,13.27
567.988,101.646,12.78
187.503,104.17,13.711
555.542,105.367,13.075
175.542,106.305,14.267
622.688,109.176,13.256
633.684,107.711,13.491
640,114.586,13.024
653.061,116.286,13.866
628.157,119.836,13.014
640.713,124.75,12.833
147.137,127.021,13.651
134.875,130.214,14.121
668.824,129.412,13.504
680.703,131.742,13.071
692.709,133.078,13.291
658.534,136.517,13.218
143.975,140.189,13.255
704.835,138.44,13.339
716.589,140.018,13.927
696.736,143.224,13.008
709.287,148.235,13.365
733.915,149.981,13.863
744.546,152.055,13.859
124.209,152.992,13.55
698.346,155.295,13.701
757.304,156.185,14.091
737.03,160.908,13.772
770.563,158.591,14.361
718.205,164.392,13.813
748.356,165.158,13.5
739.771,171.85,14.121
128.583,175.492,13.203
752.671,176.483,14.269
765.144,176.208,13.876
730.11,179.118,13.425
741.619,183.34,13.611
721.235,184.482,13.584
708.729,185.508,13.616
699.135,188.019,13.547
730.948,190.587,13.643
685.847,193.694,12.647
720.264,194,14.125
120.55,196.994,14.035
134.234,200.496,13.699
681.279,203.885,13.082
145.829,205.349,13.274
668.856,207.087,13.125
654.82,208.288,12.935
139.685,214.959,13.909
645.993,214.718,12.831
663.703,216.154,12.901
153.967,219.742,13.376
644.584,226.652,12.82
654.589,226.654,13.271
173.71,232.007,13.069
161.988,233.097,13.879
636.191,235.798,13.279
193.203,238.464,12.674
584.239,242.185,12.565
561.029,242.443,12.571
217.699,247.521,12.742
574.084,246.382,13.031
252.494,254.944,12.483
237.707,254.576,12.967
536.96,254.423,12.994
564.205,255.494,14.032
513.186,257.209,12.233
526.172,255.891,12.922
484.091,267.273,12.325
410.826,269.055,12.541
507.242,267.352,13.109
294.325,270.984,13.179
399.8,270,12.222
470.714,271.438,12.952
449.953,274,12.326
422.517,275.131,12.931
329.741,274.946,13.107
373.982,275.224,13.538
340.989,278.235,13.612
408.724,280.888,13.724
