X,Y,Z
229.51,164.088,6.132
530.345,122.608,6.456
664.956,126.989,6.736
376.734,135.597,6.67
694.286,136.721,6.143
539.383,140.813,5.531
254.102,140.051,5.458
267.396,140.834,6.809
277.995,143.151,5.752
561.292,143.966,6
247.048,146.317,6.571
356.054,145.896,7.346
515.378,145.613,5.529
667.681,148.314,5.335
369.584,145.984,7.047
220.776,150.451,6.222
260.12,152.23,6.501
444.313,152.002,6.938
271.303,152.843,5.172
646.444,153.744,5.675
332.208,154.399,8.027
406.779,157.863,6.184
419.775,159.617,6.903
482.509,161.444,6.462
514.274,161.091,5.912
266.862,163.697,6.499
343.967,155.969,6.803
218.488,166.133,7.176
315.098,167.375,5.92
563.189,166.35,6.536
357.012,166.111,6.025
246.739,169.886,6.659
465.789,166.61,6.802
663.157,171.161,5.559
648.938,168.837,6.176
259.833,173.282,6.247
236.792,175.16,6.957
683.028,177.136,6.708
225.045,178.568,6.536
296.636,175.782,6.364
641.457,178.348,6.764
159.206,178.563,6.603
249.91,181.933,7.005
575.396,182.197,6.558
238.429,186.405,6.666
636.835,191.061,6.552
168.851,191.781,6.303
193.455,191.23,6.857
209.477,191.839,6.538
239.447,197.979,5.922
186.978,203.8,7.013
591.836,210.72,7.487
646.104,213.346,7.194
495.02,110.928,7.565
379.89,111.185,7.429
680.024,115.531,7.594
370.573,117.104,6.708
606.971,121.294,6.922
250.729,122.729,6.839
343.628,122.027,7.088
265.251,125.904,6.246
380.969,127.267,6.615
466.208,127.243,6.98
275.589,128.239,7.025
440.46,129.231,7.697
511.338,130.45,7.078
541.425,125.173,8.496
486.507,128.925,7.523
594.475,132.268,7.492
242.73,134.515,7.097
529.045,133.159,7.606
570.479,134.422,7.699
388.724,133.004,7.196
543.057,132.792,5.849
612.588,133.961,6.529
337.5,133.035,8.18
361.49,135.181,6.381
257.276,134.155,6.19
414.615,136.23,7.111
207.303,138.914,6.764
290.695,136.705,6.762
477.279,137.636,6.74
660.845,139.839,8.223
644.035,138.641,7.67
310.029,139.162,6.147
500.105,140.305,6.019
449.672,139.07,7.247
508.616,141.605,6.663
232.227,140.888,7.261
527.38,143.636,6.016
384.676,146.602,6.923
688.341,151.931,7.106
485.744,146.395,5.837
152.436,149.299,8.251
289.095,147.786,5.929
552.755,147.785,8.113
569.815,148.641,6.823
196.513,148.983,7.061
294.444,149.5,6.037
412.824,149.953,7.721
541.152,150.408,7.128
620.295,146.193,7.944
676.59,150.135,7.118
172.517,155.098,7.226
507.319,152.398,7.223
