X,Y,Z
461.508,28.106,3.423
284.347,164.328,5.59
359.314,131.992,6.785
388,137.521,6.387
281.166,139.177,6.744
436.936,139.427,6.618
300.257,139.649,6.844
235.847,141.308,7.336
328.903,142.108,7.269
366.141,140.878,7.189
249.692,144.234,7.266
465.816,145.322,6.578
510.403,147.874,6.226
221.36,149.222,7.281
437.081,150.769,6.811
303.831,149.742,7.298
347.097,149.411,7.124
407.643,151.253,6.945
282.161,150.866,6.221
261.201,152.78,6.796
230.738,154.862,6.839
240.72,152.315,7.657
500.989,153.791,7.166
472.064,152.756,7.34
293.991,156.659,6.817
517.695,156.569,6.402
248.983,158.458,7.499
376.096,157.463,6.755
271.9,159.685,6.772
318.214,161.431,6.714
508.411,160.677,7.36
223.011,162.959,7.308
258.738,163.591,7.644
366.546,163.02,6.942
354.809,166.532,5.933
380.367,165.976,6.738
293.993,167.965,6.873
497.976,164.889,6.405
487.239,167.51,6.595
250.428,170.249,6.875
274.886,170.941,7.358
342.19,169.29,6.864
264.624,171.414,7.286
331.454,172.073,6.85
322.016,173.047,6.926
302.861,174.026,6.752
449.507,176.899,5.916
241.481,178.618,6.575
284.048,176.14,6.702
487.38,177.055,6.32
293.636,180.161,6.984
438.204,179.764,7.447
340.306,180.293,7.074
255.095,180.805,7.003
366.939,183.501,6.772
319.779,183.929,6.771
268.904,183.215,6.821
384.238,187.976,7.669
343.196,190.33,7.127
435.227,189.92,6.592
321.781,119.469,8.349
436.822,119.031,7.825
352.292,120.575,7.377
374.411,120.411,7.044
391.949,121.135,7.855
486.168,118.617,7.469
253.303,120.927,7.792
330.96,120.73,7.225
364.022,120.059,6.806
287.038,123.311,7.423
458.108,122.902,7.427
341.959,123.209,7.244
447.238,123.421,7.874
276.222,127.281,7.164
528.967,126.51,7.527
299.683,126.735,7.306
384.192,126.882,7.38
487.365,128.163,7.137
233.347,129.658,7.668
246.057,132.522,7.251
260.06,130.566,7.322
429.958,130.147,7.761
512.895,129.926,7.524
536.985,131.479,7.186
198.937,131.948,7.652
369.639,130.576,7.136
321.671,131.198,7.597
335.201,133.591,7.055
503.34,132.94,7.404
546.429,133.599,7.245
575.858,133.211,7.338
174.277,134.976,7.817
396.668,134.174,7.518
470.042,132.594,6.804
221.635,136.096,6.907
