X,Y,Z
433.349,110.839,6.177
506.681,119.028,6.501
536.82,120.717,6.163
472.776,122.54,7.125
431.624,123.624,6.233
515.869,128.796,6.013
373.239,136.889,5.487
413.282,142.765,5.9
426.065,145.346,5.622
311.054,154.135,6.074
412.561,156.763,6.775
467.16,158.641,7.282
294.534,166.029,5.723
319.612,172.855,6.529
440.686,175.748,5.717
338.88,187.857,5.469
351.904,190.106,5.946
269.232,194.089,6.714
326.544,193.673,6.55
467.768,195.792,6.089
391.652,198.205,5.992
339.852,200.838,6.994
353.136,206.898,6.263
312.577,210.234,6.618
302.905,217.504,6.496
318.657,219.492,7.113
455.869,221.42,5.724
372.686,222.897,6.987
538.919,104.162,6.595
447.935,105.835,7.762
457.906,115.129,6.33
524.193,114.886,6.864
549.551,118.264,5.944
347.77,123.427,6.434
383.83,123.146,6.821
360.708,128.66,6.745
295.926,131.918,7.276
390.626,131.755,6.071
484.49,132.111,7.066
239.112,134.418,7.942
472.099,134.984,7.153
327.767,134.605,6.773
437.339,135.821,6.518
350.328,137.608,6.627
400.25,138.26,6.219
307.258,136.742,6.813
318.857,139.548,5.19
452.922,139.951,6.01
362.103,142.984,6.616
261.956,143.855,6.868
339.916,144.063,6.949
479.417,145.605,7.365
289.511,145.12,8.514
320.286,146.768,6.214
397.865,151.313,6.62
372.192,152.041,6.687
439.868,149.802,6.802
353.693,152.971,6.69
255.86,154.849,6.866
296.919,155.167,6.914
452.98,153.476,6.776
385.209,153.921,6.684
240.069,159.164,7.536
428.377,157.607,6.368
514.78,160.311,6.266
398.942,163.169,7.127
499.713,164.128,7.069
362.938,164.746,6.886
227.357,165.854,6.548
308.15,166.856,7.872
531.095,164.706,7.615
282.54,169.982,6.786
412.678,169.223,7.119
238.114,173.771,7.682
512.467,173.041,7.362
375.335,175.102,6.474
397.887,175.297,6.608
344.752,177.195,6.115
358.988,176.047,6.429
496.485,177.425,7.44
557.527,175.97,6.617
304.071,178.775,7.464
262.762,178.606,6.912
291.874,181.748,6.661
249.754,181.513,6.675
276.525,183.584,6.933
315.4,184.776,6.97
524.904,181.564,7.485
366.288,186.015,7.385
394.608,185.582,6.789
460.08,185.873,6.853
383.151,185.553,6.874
566.386,188.285,6.711
417.294,191.952,7.925
284.956,194.08,6.45
405.375,195.432,6.884
254.092,194.369,7.373
520.408,194.764,8.334
375.225,198.138,7.437
363.495,197.822,6.332
453.909,196.007,6.536
314.194,197.687,7.337
564.975,198.342,6.377
227.038,200.807,7.66
243.507,202.138,7.05
301.578,203.413,6.829
418.025,204.255,6.586
433.336,206.764,6.371
449.287,206.231,6.118
262.371,207.356,7.873
403.543,207.242,7.058
480.578,200.991,7.689
367.685,210.256,6.216
380.114,210.079,6.38
249.891,214.022,7.563
391.772,213.725,7.252
487.021,214.937,6.37
341.198,214.712,7.305
439.873,217.924,6.962
547.475,217.382,7.848
413.568,216.736,6.806
355.539,219.4,7.249
399.947,222.24,6.791
332.594,222.883,6.818
387.189,225.47,7.407
500.459,223.577,6.931
411.291,230.152,6.81
435.983,229.898,7.363
463.859,232.091,6.628
423.158,233.283,6.796
384,235.699,6.521
431.84,243.171,7.721
425.861,88.266,7.955
403.92,95.745,7.715
436,97.795,6.589
492.79,99.67,7.794
478.972,103.4,7.834
524.635,99.984,6.698
516.032,103.984,6.349
