X,Y,Z
425.959,169.642,8.711
709.05,175.391,8.099
761.297,177.303,8.094
570.648,183.04,8.179
427.015,182.97,8.277
450.367,183.193,7.813
749.67,182.741,7.944
779.157,184.003,7.954
354.122,185.308,8.368
719.421,186.073,8.054
404.084,185.632,8.042
767.895,187.411,7.952
439.006,190.334,7.936
475.276,190.166,7.548
529.284,190.338,7.918
677.33,190.71,7.957
517.973,187.912,8.376
757.183,191.959,7.855
364.442,191.779,8.436
463.111,193.492,8.076
487.952,193.515,7.888
413.073,195.057,8.087
347.536,195.91,8.333
426.268,194.882,8.037
450.995,195.272,7.828
728.462,195.396,7.495
787.487,197.575,7.912
400.446,197.516,8.021
567.834,197.502,7.825
748.157,198.741,7.989
322.898,197.784,8.623
523.106,200.307,8.079
660.354,199.005,7.759
435.715,202.247,8.011
478.683,200.986,8.035
737.906,203.038,7.78
810.83,201.978,7.966
370.916,203.127,8.129
358.247,203.576,8.242
765.679,203.243,7.874
826.267,202.192,7.945
422.385,205.884,7.758
670.829,202.633,7.567
682.476,206.155,7.952
796.233,206.412,7.848
343.294,208.03,8.371
410.103,207.151,8.248
446.694,206.219,8.08
381.162,208.329,7.989
394.207,208.077,8.11
755.363,206.737,7.859
568.684,208.859,7.954
693.331,208.196,7.924
611.309,210.295,7.913
787.571,211.811,7.844
556.82,211.473,8.061
819.122,210.827,7.937
835.543,212.01,7.934
743.683,214.423,7.881
402.381,216.397,8.104
703.008,214.9,7.954
775.597,216.034,8.045
376.865,219.503,8.53
425.109,218.662,8.338
448.041,218.556,8.441
389.131,220.856,8.734
694.291,220.86,7.943
723.141,221.779,7.825
562.119,221.048,8.059
682.458,222.622,7.842
784.069,223.687,7.986
672.567,155.204,8.918
704.827,157.311,8.484
401.56,159.607,9.445
434.463,158.763,9.093
726.353,158.873,8.364
714.176,161.303,8.412
777.117,160.995,8.477
741.133,162.746,8.423
661.767,162.211,8.674
358.2,163.56,9.467
413.4,165.95,9.009
757.861,164.161,8.439
792.646,164.506,8.399
379.445,166.139,9.192
444.292,165.561,8.797
587.88,164.799,8.727
621.99,164.827,8.555
532.355,165.966,9.09
768.381,168.163,8.27
478.636,166.304,8.926
698.749,168.139,8.171
674.176,168.268,8.468
313.002,170.151,9.4
348.275,170.991,8.998
466.478,168.871,8.418
632.542,169.879,8.399
686.609,168.386,8.201
506.732,168.638,8.86
600.914,171.066,8.418
653.451,170.704,8.394
